time	V(Vout1,Vout2)	V(vin1)	V(vin2)	V(vout1)	V(vout2)
0.000000000000000e+000	0.000000e+000	0.000000e+000	1.224647e-016	1.014333e+001	1.014333e+001
2.285714279943413e-006	-1.557617e-001	1.436158e-003	-7.180789e-004	1.006539e+001	1.022115e+001
4.571428559886826e-006	-3.086897e-001	2.872313e-003	-1.436157e-003	9.988853e+000	1.029754e+001
6.857142839830239e-006	-4.587838e-001	4.308466e-003	-2.154233e-003	9.913724e+000	1.037251e+001
9.142857119773651e-006	-6.060442e-001	5.744617e-003	-2.872308e-003	9.840004e+000	1.044605e+001
1.142857139971706e-005	-7.504708e-001	7.180765e-003	-3.590382e-003	9.767692e+000	1.051816e+001
1.371428567966048e-005	-8.920637e-001	8.616911e-003	-4.308455e-003	9.696788e+000	1.058885e+001
1.599999995960388e-005	-1.030823e+000	1.005305e-002	-5.026527e-003	9.627293e+000	1.065812e+001
3.199999991920777e-005	-1.836741e+000	2.010585e-002	-1.005293e-002	9.223336e+000	1.106008e+001
6.399999983841553e-005	-2.792182e+000	4.020968e-002	-2.010484e-002	8.742990e+000	1.153517e+001
1.279999996768311e-004	-3.499850e+000	8.040310e-002	-4.020155e-002	8.382994e+000	1.188284e+001
2.256562496768311e-004	-3.735565e+000	1.416653e-001	-7.083264e-002	8.255190e+000	1.199076e+001
3.233124996768311e-004	-3.773636e+000	2.027941e-001	-1.013971e-001	8.226095e+000	1.199973e+001
4.209687496768311e-004	-3.794233e+000	2.637321e-001	-1.318661e-001	8.205759e+000	1.199999e+001
6.162812496768311e-004	-3.834109e+000	3.848063e-001	-1.924032e-001	8.165891e+000	1.200000e+001
9.092499996768310e-004	-3.892961e+000	5.635610e-001	-2.817805e-001	8.107039e+000	1.200000e+001
1.104562499676831e-003	-3.931354e+000	6.801724e-001	-3.400862e-001	8.068646e+000	1.200000e+001
1.202218749676831e-003	-3.950243e+000	7.375451e-001	-3.687726e-001	8.049757e+000	1.200000e+001
1.299874999676831e-003	-3.968904e+000	7.942237e-001	-3.971119e-001	8.031096e+000	1.200000e+001
1.397531249676831e-003	-3.987319e+000	8.501548e-001	-4.250774e-001	8.012681e+000	1.200000e+001
1.495187499676831e-003	-4.005471e+000	9.052858e-001	-4.526429e-001	7.994529e+000	1.200000e+001
1.690499999676832e-003	-4.040917e+000	1.012941e+000	-5.064703e-001	7.959083e+000	1.200000e+001
1.885812499676832e-003	-4.075109e+000	1.116783e+000	-5.583914e-001	7.924891e+000	1.200000e+001
2.081124999676832e-003	-4.107917e+000	1.216422e+000	-6.082109e-001	7.892083e+000	1.200000e+001
2.374093749676832e-003	-4.154266e+000	1.357183e+000	-6.785917e-001	7.845734e+000	1.200000e+001
2.667062499676833e-003	-4.196833e+000	1.486456e+000	-7.432280e-001	7.803167e+000	1.200000e+001
2.960031249676833e-003	-4.235258e+000	1.603146e+000	-8.015729e-001	7.764742e+000	1.200000e+001
3.252999999676833e-003	-4.269214e+000	1.706264e+000	-8.531322e-001	7.730786e+000	1.200000e+001
3.545968749676833e-003	-4.298415e+000	1.794939e+000	-8.974697e-001	7.701585e+000	1.200000e+001
